"","folio","factor_b2","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"167",229000,12765,"0","0","0","1","1","1","1","1","1","1","1","1","1","3"
"168",231000,12765,"0","1","1","1","1","1","1","1","1","1","1","1","1","2"
"169",232000,12765,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"170",233000,12765,"0","0","0","1","1","1","0","1","0","1","1","1","1","2"
"171",236000,12765,"0","0","1","0","0","0","1","0","0","1","1","1","1","2"
"172",237000,12765,"0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"173",240000,12765,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"174",241000,12765,"0","0","0","1","1","1","1","1","1","1","1","1","1","3"
"175",242000,12765,"1","1","0","1","1","1","0","1","1","1","1","1","1","2"
"176",243000,12765,"0","0","0","0","1","0","0","0","1","0","1","1","0","2"
"177",244000,6956,"0","0","0","1","1","1","0","1","1","1","1","1","0","2"
"178",245000,6956,"0","1","0","1","1","1","0","1","0","1","1","0","0","1"
"179",246000,6956,"0","1","0","1","1","1","0","0","0","0","1","1","1","2"
"180",247000,6956,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"181",248000,6956,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"182",249000,6956,"1","0","0","1","1","1","1","1","1","1","1","1","1","2"
"183",251000,6956,"1","0","0","1","1","1","0","0","0","0","1","0","0","3"
"184",252000,6956,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"185",253000,6956,"0","0","0","1","0","0","0","0","0","0","1","1","0","1"
"186",254000,6956,"1","0","1","1","1","1","0","1","1","1","1","1","1","3"
"187",258000,6956,"1","1","0","1","1","1","0","1","0","1","1","1","1","1"
"188",259000,6956,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"189",260000,6956,"1","0","0","1","1","1","1","1","1","1","1","1","1","3"
"190",261000,6956,"1","0","1","1","1","1","1","1","1","1","1","1","1","2"
"191",262000,6956,"0","1","1","1","1","1","1","1","1","1","1","1","1","3"
"192",263000,6956,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"193",264000,6956,"0","1","1","1","1","1","1","1","1","1","1","1","1","2"
"194",265000,6956,"1","1","1","1","1","1","0","1","1","1","1","1","1","2"
"195",266000,6956,"1","0","0","1","1","1","0","1","1","1","1","1","1","1"
"196",267000,6956,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"197",269000,6956,"0","1","1","1","1","1","0","1","1","1","1","1","1","2"
"198",270000,6956,"1","1","0","1","1","1","1","1","1","1","1","1","1","2"
"199",271000,6956,"1","1","0","1","1","1","1","1","1","1","1","1","1","2"
"200",272000,6956,"0","1","0","1","1","1","1","1","1","1","1","1","1","2"
"201",273000,6956,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"202",275000,6956,"1","1","0","1","1","1","0","1","1","1","1","1","1","3"
"203",277000,6956,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"204",278000,6956,"0","1","1","1","1","1","0","1","1","1","1","1","1","2"
"205",279000,6956,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"206",280000,6956,"1","1","0","1","1","1","0","1","1","1","1","1","1","2"
"207",281000,6956,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"208",282000,6956,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"209",284000,6956,"0","0","0","1","1","1","1","1","1","1","1","1","1","2"
"210",285000,6956,"0","1","0","1","1","1","1","1","1","1","1","1","1","2"
"211",286000,6956,"1","1","0","1","1","1","0","1","1","1","1","1","1","2"
"212",287000,6956,"1","0","1","1","1","1","1","1","1","1","1","1","1","1"
"213",288000,6956,"0","0","1","1","1","1","1","1","1","1","1","1","1","2"
"214",289000,6956,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"215",290000,6956,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"216",291000,6956,"0","0","0","1","1","1","0","1","0","1","1","0","1","2"
"217",292000,6956,"0","0","0","1","1","1","0","1","0","1","1","1","1","3"
"218",293000,6956,"0","0","0","1","1","0","0","0","0","0","1","1","1","1"
"219",294000,6956,"0","0","0","1","1","1","0","1","1","1","1","0","1","1"
"220",295000,6956,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"221",296000,6956,"0","0","0","1","1","1","0","1","0","1","1","1","0","2"
"222",297000,6956,"1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"223",298000,506,"0","0","0","1","1","0","0","1","1","1","1","1","1","2"
"224",301000,506,"0","0","0","1","0","0","0","1","1","1","1","1","1","2"
"225",303000,506,"1","0","1","0","0","0","0","0","0","0","1","1","0","1"
"226",304000,506,"1","0","0","1","1","0","0","1","1","1","1","1","0","2"
"227",305000,506,"0","0","0","1","1","0","0","1","1","1","1","1","0","1"
"228",306000,506,"0","0","0","1","0","0","0","0","0","1","1","1","0","1"
"229",307000,506,"0","0","0","1","0","0","0","0","0","1","0","1","0","1"
"230",308000,506,"1","0","0","0","0","0","0","0","0","0","1","1","0","1"
"231",309000,506,"0","0","0","1","0","0","0","0","1","0","1","1","0","1"
"232",312000,506,"0","0","0","0","0","0","0","1","1","1","1","1","0","2"
"233",313000,506,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"234",316000,506,"0","0","0","1","1","1","0","1","1","0","1","1","0","2"
"235",317000,506,"0","0","0","1","1","1","0","1","0","1","1","1","0","1"
"236",319000,506,"0","0","0","1","0","1","0","1","0","0","1","1","0","1"
"237",320000,506,"0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"238",321000,506,"0","0","0","1","0","0","0","0","0","0","1","1","0","1"
"239",323000,506,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"240",324000,506,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"241",325000,506,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"242",326000,506,"0","0","0","1","0","0","0","1","0","0","1","1","0","2"
"243",328000,506,"0","0","0","1","1","1","0","1","1","1","1","1","0","1"
"244",329000,506,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"245",332000,506,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"246",333000,506,"0","0","0","1","0","0","0","1","0","0","1","1","0","1"
"247",334000,506,"1","0","0","1","1","1","0","1","1","0","1","0","0","2"
"248",337000,506,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"249",341000,506,"1","1","0","1","1","0","0","0","0","0","1","1","0","3"
"250",342000,506,"1","0","0","1","1","0","0","0","0","0","1","1","0","1"
"251",343000,506,"1","0","0","1","1","1","0","0","0","0","1","1","0","2"
"252",344000,506,"1","0","0","0","0","0","0","0","0","0","1","1","0","1"
"253",345000,506,"0","0","0","1","1","1","0","1","1","1","1","1","0","1"
"254",346000,506,"1","0","0","0","1","0","0","0","0","0","1","1","0","2"
"255",347000,506,"0","0","0","1","1","1","0","0","0","0","1","1","0","1"
"256",348000,506,"0","0","0","1","1","1","0","0","0","0","1","1","0","2"
"257",349000,506,"1","0","0","1","1","1","0","1","0","1","1","1","0","1"
"258",350000,506,"0","0","0","1","1","0","0","0","0","0","1","1","0","1"
