"","folio","foliow1","fac_2l","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"138","00171000","00171000",1563,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"139","00174000","00174000",1563,"0","1","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA
"140","00175000","00175000",1563,"0","0","0","0","0","1","0","1","1","1","1","1","1","2"
"141","00176000","00176000",1563,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"142","00178000","00178000",1563,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"143","00180000","00180000",1563,"0","0","0","1","1","1","0","1","1","1","1","0","1","1"
"144","00181000","00181000",1630,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"145","00183000","00183000",1630,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"146","00185000","00185000",1630,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"147","00188000","00188000",1630,"1","1","1","1","1","1","0","1","1","1","1","1","1","3"
"148","00189000","00189000",1630,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"149","00190000","00190000",13297,"1","0","0","1","1","0","0","1","1","1","1","0","0","1"
"150","00190004","00190000",13297,"0","0","0","1","1","0","0","1","1","1","1","1","1","2"
"151","00190005","00190000",13297,"0","1","0","1","1","0","0","1","1","0","1","0","0","1"
"152","00191000","00191000",13297,"0","1","0","1","1","1","0","1","0","1","1","1","1","1"
"153","00192000","00192000",13297,"0","1","0","1","1","1","0","1","1","1","1","1","0","1"
"154","00194000","00194000",13297,"0","1","0","1","1","0","0","1","1","1","1","1","1","2"
"155","00195000","00195000",13297,"0","0","0","1","0","0","0","1","1","1","1","1","1","1"
"156","00197000","00197000",13297,"0","0","0","1","1","1","1","1","1","1","1","1","1","3"
"157","00198000","00198000",13297,"0","1","0","1","0","1","0","1","0","1","1","1","1","2"
"158","00199000","00199000",13297,"0","1","0","1","0","0","0",NA,NA,NA,NA,"0","1","1"
"159","00200000","00200000",13297,"0","1","0","1","1","1","0","1","1","1","1","1","1","1"
"160","00201000","00201000",13297,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"161","00202000","00202000",13297,"1","1","1","1","1","1","0","1","1","1","1","1","1","3"
"162","00202003","00202000",13297,"1","0","0","1","1","1","1","1","1","1","1","1","1","1"
"163","00203000","00203000",13297,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"164","00206000","00206000",13297,"1","1","1","1","1","1","0","1","1","1","1","1","1","3"
"165","00207000","00207000",13297,"0","1","0","1","0","0","0","1","1","1","1","1","1","3"
"166","00208000","00208000",13297,"1","0","0","1","1","1","0","1","1","1","1","1","1","3"
"167","00209000","00209000",13297,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"168","00210000","00210000",13297,"0","1","0","1","1","1","0","1","1","1","1","1","1","1"
"169","00211000","00211000",13297,"0","0","0","1","1","1","0","0","1","1","1","1","1","2"
"170","00212000","00212000",13297,"0","0","0","1","1","1","0","1","0","1","1","1","1","2"
"171","00213000","00213000",13297,"1","1","0","1","1","1","0","1","1","1","1","1","1","2"
"172","00214000","00214000",13297,"1","1","0","1","1","1","1","1","1","1","1","1","1","2"
"173","00215000","00215000",13297,"0","1","0","1","1","1","0","1","1","1","1","1","0","2"
"174","00217000","00217000",13297,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"175","00218000","00218000",13297,"1","0","1","1","1","1","0","1","1","1","1","1","0","2"
"176","00219000","00219000",13297,"1","0","1","1","1","1","0","1","1","1","1","1","1","2"
"177","00220000","00220000",13297,"0","0","0","1","1","1","0","1","1","1","1","1","0","1"
"178","00223000","00223000",13297,"0","1","1","1","1","1","0","1","1","1","1","1","1","2"
"179","00225000","00225000",13297,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"180","00227000","00227000",13297,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"181","00229000","00229000",13297,"0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"182","00232000","00232000",13297,"0","0","1","1","1","0","0","1","1","1","1","1","1","2"
"183","00233000","00233000",13297,"0","0","0","1","1","0","0","1","1","1","1","1","1","2"
"184","00236000","00236000",13297,"0","1","1","1","1","1","0","1","0","1","1","1","1","2"
"185","00237000","00237000",13297,"0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"186","00240000","00240000",13297,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"187","00240003","00240000",13297,"1","0","1","1","1","1","1","1","1","1","1","1","1","2"
"188","00241000","00241000",13297,"0","0","0","1","1","1","0","1","0","1","1","1","1","1"
"189","00242000","00242000",13297,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"190","00243000","00243000",13297,"0","0","0","1","1","1","0","1","1","0","1","1","1","1"
"191","00244000","00244000",7770,"0","1","1","1","1","1","0","1","1","1","1","1","0","2"
"192","00245000","00245000",7770,"0","1","0","1","1","1","0","1","0","1","1","1","0","2"
"193","00246000","00246000",7770,"0","1","0","1","1","1","0","1","0","1","1","1","1","2"
"194","00247000","00247000",7770,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"195","00248000","00248000",7770,"0","0","0","1","1","1","0","1","0","1","1","1","1","2"
"196","00249000","00249000",7770,"0","0","0","1","1","1","0","1","1","1","1","1","1","1"
"197","00250000","00250000",7770,"0","0","0","1","1","1","1","1","1","1","1","1","1","2"
"198","00251000","00251000",7770,"0","1","0","0","1","1","0","0","0","1","1","1","0","1"
"199","00251003","00251000",7770,"0","0","0","1","1","1","0","1","0","1","1","1","0","1"
"200","00252000","00252000",7770,"0","0","1","1","1","1","1","1","1","1","1","1","1","2"
"201","00253000","00253000",7770,"0","0","0","1","0","0","0","0","0","0","1","1","0","1"
"202","00254000","00254000",7770,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"203","00258000","00258000",7770,"0","0","0","1","1","1","1","1","0","1","1","1","0","2"
"204","00259000","00259000",7770,"0","0","0","1","1","0","0","1","0","1","1","1","1","3"
"205","00260000","00260000",7770,"1","0","0","1","1","1","0","1","1","1","1","1","1","3"
"206","00261000","00261000",7770,"1","1","1","1","1","1","1","1","1","1","1","1","1","3"
"207","00262000","00262000",7770,"1","0","1","1","1","1","0","1","1","1","1","1","1","3"
"208","00263000","00263000",7770,"0","0","0","1","0","0","0","1","1","1","1","1","1","1"
"209","00265000","00265000",7770,"0","0","1","1","1","0","0","1","1","1","1","1","1","2"
"210","00266000","00266000",7770,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"211","00267000","00267000",7770,"0","1","1","1","1","1","0","1","1","1","1","1","1","1"
"212","00269000","00269000",7770,"1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"213","00270000","00270000",7770,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"214","00271000","00271000",7770,"0","0","0","1","1","1","1","1","1","1","1","1","1","2"
"215","00272000","00272000",7770,"1","1","0","1","1","1","1","1","1","1","1","1","1","1"
"216","00273000","00273000",7770,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"217","00277000","00277000",7770,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"218","00279000","00279000",7770,"0","0","0","0","0","0","0","1","1","1","1","1","1","3"
